classe,num_processo,reu_preso_recorreu,seq_jurisdicionado,mp,pena_fixada_decisao_recorrida_anos,pena_fixada_decisao_recorrida_meses,sucesso_recurso,obs
ARE,716842,,391,true,0,0,,Agravo em execução
AI,815157,0,1085,false,4,0,,
ARE,717605,0,226,false,2,11,,
ARE,704870,0,156,false,5,4,,
ARE,724746,,1254,true,0,0,,Processo não encontrado
REsp,1465181,0,1937,false,7,8,,Semiaberto
REsp,1465181,0,68,false,7,8,,Semiaberto
REsp,1465181,0,216,false,2,6,,Substituiu por restritiva de direitos
REsp,1538053,0,1570,false,0,1,,Substituiu por restritiva de direitos
REsp,1487408,,2585,false,0,0,,Agravo de Execução
AREsp,514912,0,158,false,6,1,,Tribunal do Juri. Regime Fechado
REsp,1547972,1,2540,false,7,4,,Regime Fechado. Carta de Sentença de provisória . Transitou em julgado.
AREsp,616134,,1621,false,0,0,,"Não faz mensão a pena nem a situação carcerária (AP privada: Difamação, Injúria, Calúnia)"
AREsp,644127,0,2319,false,8,0,,"Reegime Fechado, foi preso em flagrante"
AREsp,568444,0,2573,false,0,7,,Regime Semiaberto
AREsp,649777,0,2476,false,4,0,,Aberto
AREsp,682461,,231,false,0,0,,Recurso em Sentido Estrito contra decisão que pronunciou o réu.
AREsp,670530,,2583,false,0,0,,Pede senha; segredo de justiça
AREsp,477297,0,1169,false,0,0,,Absolvido
REsp,1521647,0,1870,false,6,0,,Regime Fechado
AREsp,607867,,584,false,0,0,,Não faz menção à pena nem a situação carcerária
AREsp,717291,,2047,false,0,0,,Não diz a pena nem a situação carcerária
AREsp,520324,0,1434,false,1,0,,Aberto
AREsp,694025,0,1490,false,3,6,,Regime fechado. Não diz a situação carcerária
REsp,1500961,0,2572,false,0,0,,Substituição da pena
REsp,1531116,0,2149,false,0,0,,Absolvido
AREsp,593364,1,502,false,5,0,,Acordão não diz a situação carcerária
AREsp,505467,1,1443,false,2,0,,Fechado
AREsp,592989,,2374,false,0,0,,Segredo de justiça
AREsp,729643,,2436,false,0,0,,Não diz a pena nem a situação carcerária
AREsp,755009,0,655,false,1,0,,Substituição da pena
REsp,1508396,0,308,false,0,0,,"""Após o trânsito em julgado, expeçam-se mandados de prisão"""
AREsp,613902,0,1480,false,0,1,,Substituição da pena
AREsp,796162,0,198,false,1,0,,Substituição da pena
AREsp,718078,1,2408,false,5,6,,
REsp,1553481,0,539,false,5,7,,Fechado
REsp,1535210,0,214,false,3,4,,Fechado
AREsp,745049,0,683,false,5,10,,Não diz a situação carcerária
AREsp,727229,,338,false,0,0,,Não achei o processo
REsp,1523096,1,846,false,1,8,,Não diz a situação carcerária
AREsp,743388,0,380,false,8,9,,
AREsp,606900,,1949,false,0,0,,"Aparecem diversas movimentações, mas não há link para o acórdão."
AREsp,733653,0,2457,false,13,6,,Caso de Tribunal do Juri. Não fala situação carcerária
AREsp,800426,0,1698,false,3,0,,Regime Aberto
REsp,1503641,,1329,false,0,0,,"Há processo, mas não tem link para o acórdão"
AREsp,600826,1,541,false,0,0,,Não diz a pena
AREsp,800513,0,2169,false,5,4,,
AREsp,577251,0,1972,false,13,0,,Não diz a situação carcerária
AREsp,724792,,1204,false,0,0,,Não diz a pena nem a situação carcerária
AREsp,749712,0,2562,false,5,10,,Regime Semiaberto
AREsp,606782,,2455,false,0,0,,Não faz mensão à pena nem à situação carcerária
REsp,1476951,0,376,false,1,0,,Regime Aberto
AREsp,507574,0,1508,false,0,0,,"Regime semiaberto, mas não diz a pena"
AREsp,725588,0,839,false,2,8,,SEMIABERTO
REsp,1444110,0,624,false,0,0,,Solto. Mp recorreu. Perdeu
REsp,1561060,,2358,false,0,0,,Agravo em Execução
REsp,1539897,0,1426,false,0,0,,Concessão do HC
REsp,1476877,0,351,false,0,0,,Absolvido
AREsp,749622,0,2123,false,5,4,,"Foi preso preventivamente, mas solto em 1ª instancia. Regime Semiaberto"
REsp,1430128,1,2270,false,4,6,,Regime Fechado
AREsp,697717,0,652,false,6,7,,"A Apelação não trata da pena. Mas achei a sentença. Réu livre, pois: ""Transitada em julgado, expeça-se guia para cumprimento da pena"""
AREsp,798169,,1520,false,0,0,,
AREsp,621058,,1634,false,0,0,,
AREsp,629397,,2631,true,0,0,,
AREsp,739563,,654,false,0,0,,
AREsp,739563,,654,false,0,0,,
AREsp,817849,0,778,false,2,0,,Substuição da pena
AREsp,518760,0,2242,false,3,7,,Substituição da pena
AREsp,692950,0,2625,false,2,4,,Regime aberto
AREsp,729125,0,1700,false,2,4,,Substituição da pena
REsp,1540206,0,638,false,2,2,,Substituição da pena
AREsp,785658,,1034,false,0,0,,Agravo em Execuçção
AREsp,787856,,707,false,0,0,,Não diz a pena nem a situação carcerária
AREsp,723774,0,797,false,0,0,,Processo extinto em primeira instância sem resolução de mérito. MP apelou e venceu na 2ª instância. A ação penal prosseguirá em 1ª instância.
AREsp,637464,0,70,false,2,6,,Substituição da pena
AREsp,760286,0,2611,false,1,11,,Substituição da pena
ARE,710669,,1137,false,0,0,,
AI,818235,0,2599,false,0,0,,"Não há mensão à pena , nem a situação carcerária"
AI,826817,,1345,false,0,0,,"Duas obs: não há mensão a pena nem situação carcerária. Além disso, achei o processo no STJ, mas a origem não era DF, e sim SP"
ARE,727909,,1663,false,0,0,,
ARE,716177,0,1198,false,3,4,,ABERTO
AI,846575,0,492,false,2,6,,ABERTO
ARE,682044,0,1159,false,3,4,,
RE,633951,0,840,false,0,0,,Absolvido
AI,821960,,2092,false,0,0,,
AI,821960,,140,false,0,0,,
AI,821960,,1154,false,0,0,,
AREsp,546485,0,551,false,0,2,8,'3048627'
AREsp,512290,,2109,false,0,0,,'3178624'
AREsp,512290,,2009,false,0,0,,'3178624'
AREsp,552268,0,32,false,1,4,,
AREsp,557431,0,2632,false,6,0,0,Guilherme – STJ
AREsp,631090,1,1203,false,25,0,,
REsp,1532899,,1065,false,0,0,0,Guilherme – STJ
AREsp,642165,,1939,false,0,0,,apelação cível- suspensão direitos políticos
AREsp,565556,0,2455,false,5,10,,Regime fechado
AREsp,785584,0,2550,false,2,0,,
AREsp,752954,,248,false,0,0,,segredo de justiça
AI,804901,,1958,false,0,0,,processo não encontrado
RE,715789,0,2690,false,0,0,,Habeas Corpus
AI,834930,0,1386,false,0,0,,Emargos infringentes no Recurso em sentido estrito contra decisão que  submete a Júri
ARE,727882,,1221,false,0,0,,recurso em sentido estrito - recebimento da denúncia
AI,782899,,1888,false,0,0,,processo não encontrado
ARE,643405,0,1129,false,0,6,,
RE,630495,,2522,false,0,0,,recurso em sentido estrito - denúncia
REsp,1496317,,1011,false,0,0,0,Discussão cível
REsp,1496317,,848,false,0,0,0,Discussão cível
AREsp,735012,0,1981,false,0,0,0,Pena não informada
AREsp,493252,,861,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1465043,0,499,false,2,8,0,
AREsp,765462,,1761,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,518363,,1484,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1530163,1,609,false,0,0,0,Réu absolvido no recurso
REsp,1520504,0,1713,false,2,9,0,
AREsp,611072,,1762,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1531282,0,954,false,5,0,0,Processo sob segredo de justiça (condena
AREsp,701322,0,513,false,2,9,0,
REsp,1544882,,1911,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,823712,,2246,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,652779,,1048,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1458505,,1215,false,0,0,0,Agravo de execução
REsp,1548484,,2710,false,0,0,0,Agravo de execução
AREsp,572676,0,2684,false,2,3,0,Substituição da pena privativa de liberd
REsp,1517118,,2274,false,0,0,0,Agravo de execução
AREsp,735807,0,1302,false,4,1,0,
REsp,1475100,,2264,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,595731,0,1028,false,6,2,0,
AREsp,581113,0,2574,false,1,9,0,
AREsp,759571,0,2656,false,3,6,0,
REsp,1432466,0,1792,false,6,6,0,
AREsp,591552,1,1195,false,2,9,0,
AREsp,825722,,1455,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,541614,,120,true,0,0,0,
REsp,1450283,,1352,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1521994,0,1405,false,0,0,0,
AREsp,721761,0,2153,false,0,4,0,Substituição da pena privativa de liberd
REsp,1567632,,173,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,726175,1,2173,false,4,1,0,
AREsp,487322,1,2255,false,0,0,0,Pena não informada
REsp,1525231,0,1104,false,0,0,0,Réu absolvido no recurso
AREsp,802976,,972,false,0,0,0,Réu absolvido em procedimento ordinário
AREsp,565928,,2166,false,0,0,0,Discussão cível
AREsp,786082,,2060,false,0,0,0,Agravo de execução
AREsp,786082,,2348,false,0,0,0,Agravo de execução
AREsp,786082,,762,false,0,0,0,Agravo de execução
AREsp,786082,,1271,false,0,0,0,Agravo de execução
AREsp,786082,,1659,false,0,0,0,Agravo de execução
AREsp,786082,,2547,false,0,0,0,Agravo de execução
AREsp,786082,,1165,false,0,0,0,Agravo de execução
AREsp,786082,,1303,false,0,0,0,Agravo de execução
AREsp,786082,,575,false,0,0,0,Agravo de execução
AREsp,786082,,710,false,0,0,0,Agravo de execução
AREsp,786082,,1089,false,0,0,0,Agravo de execução
AREsp,786082,,348,false,0,0,0,Agravo de execução
AREsp,786082,,1042,false,0,0,0,Agravo de execução
AREsp,786082,,1692,false,0,0,0,Agravo de execução
AREsp,786082,,2117,false,0,0,0,Agravo de execução
AREsp,786082,,2534,false,0,0,0,Agravo de execução
AREsp,786082,,783,false,0,0,0,Agravo de execução
AREsp,786082,,1072,false,0,0,0,Agravo de execução
AREsp,786082,,694,false,0,0,0,Agravo de execução
AREsp,786082,,2404,false,0,0,0,Agravo de execução
AREsp,786082,,261,false,0,0,0,Agravo de execução
REsp,1532926,0,1485,false,18,0,0,
AREsp,607039,0,2034,false,4,5,0,
AREsp,505465,0,2589,false,0,7,0,
AREsp,785890,0,224,false,10,0,0,
AREsp,501284,0,2029,false,2,6,0,Substituição da pena privativa de liberd
REsp,1506985,1,2456,false,13,0,0,
AREsp,828852,,1731,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,570384,,2053,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,507579,0,2100,false,12,9,0,
AREsp,699185,0,74,false,0,0,0,Pena não informada
REsp,1483006,0,1167,false,8,4,0,
AREsp,541617,0,1715,false,2,0,0,Concedido sursis
REsp,1530726,,2379,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,603116,1,425,false,10,0,0,
AREsp,553310,0,2038,false,14,0,0,
AREsp,812182,0,1627,false,0,6,0,Substituição da pena privativa de liberd
AREsp,621094,0,554,false,7,9,0,
AREsp,710617,1,885,false,10,1,0,
AREsp,476253,0,1538,false,5,6,0,
AREsp,586481,1,388,false,4,2,0,
AREsp,586481,0,2604,false,0,0,0,Réu absolvido no recurso
AREsp,499251,0,461,false,6,0,0,
AREsp,518045,0,1471,false,5,0,0,
REsp,1493928,1,526,false,4,2,0,
AREsp,622640,,2575,false,0,0,0,Discussão cível
AREsp,673963,0,2215,false,7,4,0,
