Time,"Time Code","Country Name","Country Code","AIDS estimated deaths (UNAIDS estimates) [SH.DYN.AIDS.DH]","Children orphaned by HIV/AIDS [SH.HIV.ORPH]","Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Forest area (% of land area) [AG.LND.FRST.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Population living in slums (% of urban population) [EN.POP.SLUM.UR.ZS]","Population, total [SP.POP.TOTL]","Vulnerable employment, female (% of female employment) [SL.EMP.VULN.FE.ZS]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]"
1990,"YR1990","Iran, Islamic Rep.","IRN","200","580","","3.74316340331467","108.231746872952","4.818","5.57237407598418","","51.9","56226185","","89.8022"
1990,"YR1990","Iraq","IRQ","","","","2.73014988546858","99.5829258156487","5.882","1.8382605116949","","16.9","17469005","","70.4966"
1990,"YR1990","Ireland","IRL","100","","","8.88372281638965","131.467792973672","2.11","6.74989113078821","","","3513974","","15.5984"
1990,"YR1990","Isle of Man","IMN","","","","","","","6.07017543859649","","","68429","",""
1990,"YR1990","Israel","ISR","","","","7.7888339055794","119.903325057486","2.824","6.09981515711645","","","4660000","","20.3732"
1990,"YR1990","Italy","ITA","710","","","7.36170458207832","82.9714256533979","1.33","25.8066709734453","","","56719240","","8.631"
1990,"YR1990","Jamaica","JAM","200","500","","3.10695796871764","157.658116739415","2.947","31.8190212373038","","","2424242","","101.1202"
1990,"YR1990","Japan","JPN","100","","","8.87329283534488","116.117718874589","1.54","68.4311574328031","","","123537000","","3.8334"
1990,"YR1990","Jordan","JOR","","","","2.92179171832021","146.34159443427","5.488","1.10494106980961","","","3560582","","51.624"
1990,"YR1990","Kazakhstan","KAZ","100","100","","","344.267094537798","2.72","1.26754824610142","","","16348000","","50.7314"
1990,"YR1990","Kenya","KEN","23000","100000","","0.248827871304557","192.281504709467","6.066","8.30024247109674","","54.9","23402507","","128.2596"
1990,"YR1990","Kiribati","KIR","","","","0.30384466662984","50.0860605567428","4.688","15","","","72412","","47.3016"
